TIMESTAMP		DIRECTION	DATA
2016-11-16 19:29:42	>>		010C
2016-11-16 19:29:42	<<		7E804410C0D57
2016-11-16 19:29:42	>>		010D
2016-11-16 19:29:42	<<		7E803410D1B
2016-11-16 19:29:42	>>		010F
2016-11-16 19:29:43	<<		7E803410F57
2016-11-16 19:29:43	>>		0105
2016-11-16 19:29:43	<<		7E80341057F
2016-11-16 19:29:43	>>		010C
2016-11-16 19:29:43	<<		7E804410C0DEB
2016-11-16 19:29:43	>>		010D
2016-11-16 19:29:43	<<		7E803410D1A
2016-11-16 19:29:43	>>		010F
2016-11-16 19:29:44	<<		7E803410F57
2016-11-16 19:29:44	>>		0105
2016-11-16 19:29:44	<<		7E80341057F
2016-11-16 19:29:44	>>		010C
2016-11-16 19:29:44	<<		7E804410C1313
2016-11-16 19:29:44	>>		010D
2016-11-16 19:29:44	<<		7E803410D1B
2016-11-16 19:29:44	>>		010F
2016-11-16 19:29:45	<<		7E803410F57
2016-11-16 19:29:45	>>		0105
2016-11-16 19:29:45	<<		7E80341057F
2016-11-16 19:29:45	>>		010C
2016-11-16 19:29:45	<<		7E804410C136C
2016-11-16 19:29:45	>>		010D
2016-11-16 19:29:46	<<		7E803410D1D
2016-11-16 19:29:46	>>		010F
2016-11-16 19:29:46	<<		7E803410F57
2016-11-16 19:29:46	>>		0105
2016-11-16 19:29:46	<<		7E80341057F
2016-11-16 19:29:46	>>		010C
2016-11-16 19:29:46	<<		7E804410C14F5
2016-11-16 19:29:46	>>		010D
2016-11-16 19:29:47	<<		7E803410D1F
2016-11-16 19:29:47	>>		010F
2016-11-16 19:29:47	<<		7E803410F56
2016-11-16 19:29:47	>>		0105
2016-11-16 19:29:47	<<		7E80341057F
2016-11-16 19:29:47	>>		010C
2016-11-16 19:29:47	<<		7E804410C1679
2016-11-16 19:29:47	>>		010D
2016-11-16 19:29:48	<<		7E803410D22
2016-11-16 19:29:48	>>		010F
2016-11-16 19:29:48	<<		7E803410F56
2016-11-16 19:29:48	>>		0105
2016-11-16 19:29:48	<<		7E80341057F
2016-11-16 19:29:48	>>		010C
2016-11-16 19:29:48	<<		7E804410C1819
2016-11-16 19:29:48	>>		010D
2016-11-16 19:29:49	<<		7E803410D24
2016-11-16 19:29:49	>>		010F
2016-11-16 19:29:49	<<		7E803410F55
2016-11-16 19:29:49	>>		0105
2016-11-16 19:29:49	<<		7E803410580
2016-11-16 19:29:49	>>		010C
2016-11-16 19:29:50	<<		7E804410C19B1
2016-11-16 19:29:50	>>		010D
2016-11-16 19:29:50	<<		7E803410D27
2016-11-16 19:29:50	>>		010F
2016-11-16 19:29:50	<<		7E803410F55
2016-11-16 19:29:50	>>		0105
2016-11-16 19:29:50	<<		7E803410580
2016-11-16 19:29:50	>>		010C
2016-11-16 19:29:51	<<		7E804410C1B9F
2016-11-16 19:29:51	>>		010D
2016-11-16 19:29:51	<<		7E803410D29
2016-11-16 19:29:51	>>		010F
2016-11-16 19:29:51	<<		7E803410F55
2016-11-16 19:29:51	>>		0105
2016-11-16 19:29:52	<<		7E803410580
2016-11-16 19:29:52	>>		010C
2016-11-16 19:29:52	<<		7E804410C1D40
2016-11-16 19:29:52	>>		010D
2016-11-16 19:29:52	<<		7E803410D2D
2016-11-16 19:29:52	>>		010F
2016-11-16 19:29:52	<<		7E803410F54
2016-11-16 19:29:52	>>		0105
2016-11-16 19:29:53	<<		7E803410580
2016-11-16 19:29:53	>>		010C
2016-11-16 19:29:53	<<		7E804410C1F65
2016-11-16 19:29:53	>>		010D
2016-11-16 19:29:53	<<		7E803410D2F
2016-11-16 19:29:53	>>		010F
2016-11-16 19:29:54	<<		7E803410F54
2016-11-16 19:29:54	>>		0105
2016-11-16 19:29:54	<<		7E803410580
2016-11-16 19:29:54	>>		010C
2016-11-16 19:29:54	<<		7E804410C20ED
2016-11-16 19:29:54	>>		010D
2016-11-16 19:29:54	<<		7E803410D32
2016-11-16 19:29:54	>>		010F
2016-11-16 19:29:55	<<		7E803410F54
